"selection_algorithm","predictors_chosen","num_predictors","PRESS","MSEP","AIC","SBC","SBIC","RMSE","MSE","MAE","Adj_Rsquare","Pred_Rquare","RSquare","Coef_Determ","Coef_Var","Total_SS","Reg_SS","Err_SS","RMS","EMS","Function_Used","KS_Stat","KS_Pvalues","Params","target_name"
"Forward (aic)","OverallQual Neighborhood TotRmsAbvGrd BsmtExposure GarageArea KitchenQual LotArea Fireplaces BsmtQual MasVnrArea PoolQC BsmtFinType1 ExterQual BsmtCond OverallCond LotFrontage KitchenAbvGr FullBath BedroomAbvGr HalfBath BsmtFullBath ScreenPorch WoodDeckSF OpenPorchSF Functional PoolArea ExterCond FireplaceQu X3SsnPorch HeatingQC LotShape",31,1493683105649.28,1285248954148.88,34247.89584066,34543.8458117638,30066.7769137666,29932.4768151261,895953168.288063,20546.7262403715,0.858223229920173,0.837774662732196,0.863477825379549,0.929235075413939,16.543411209768+0i,9207458778054.44,7950436482946.29,1257022295108.15,147230305239.746,895953168.288063,"ols_step_forward_aic",0.0367126703277797,0.279351018639233,"target=SalePrice imb=0.5 vif=10 ordint=TRUE ordfact=FALSE pin=0.05 pout=0.1","SalePrice"
"Backward (aic)","LotFrontage LotArea LotShape Neighborhood OverallQual OverallCond MasVnrArea ExterQual ExterCond BsmtQual BsmtCond BsmtExposure BsmtFinType1 BsmtFinType2 BsmtFinSF2 HeatingQC BsmtFullBath FullBath HalfBath BedroomAbvGr KitchenAbvGr KitchenQual TotRmsAbvGrd Functional Fireplaces FireplaceQu GarageArea WoodDeckSF OpenPorchSF X3SsnPorch ScreenPorch PoolArea PoolQC",33,1494375946599.19,1284096059660.19,34248.5396448815,34555.0592578105,30067.6781667707,29919.3784795319,895169208.601475,20512.2924068217,0.858347284699119,0.837699414939444,0.863791726742255,0.92940396316255,16.5361718772785+0i,9207458778054.45,7953326716803.78,1254132061250.67,142023691371.496,895169208.601475,"ols_step_backward_aic",0.0400842037173366,0.191824800432156,"target=SalePrice imb=0.5 vif=10 ordint=TRUE ordfact=FALSE pin=0.05 pout=0.1","SalePrice"
"Stepwise (aic)","OverallQual Neighborhood TotRmsAbvGrd BsmtExposure GarageArea KitchenQual LotArea Fireplaces BsmtQual MasVnrArea PoolQC BsmtFinType1 ExterQual BsmtCond OverallCond LotFrontage KitchenAbvGr FullBath BedroomAbvGr HalfBath BsmtFullBath ScreenPorch WoodDeckSF OpenPorchSF Functional PoolArea ExterCond FireplaceQu X3SsnPorch HeatingQC LotShape",31,1493683105649.28,1285248954148.88,34247.89584066,34543.8458117638,30066.7769137666,29932.4768151261,895953168.288063,20546.7262403715,0.858223229920173,0.837774662732196,0.863477825379549,0.929235075413939,16.543411209768+0i,9207458778054.44,7950436482946.29,1257022295108.15,147230305239.746,895953168.288063,"ols_step_both_aic",0.0367126703277797,0.279351018639233,"target=SalePrice imb=0.5 vif=10 ordint=TRUE ordfact=FALSE pin=0.05 pout=0.1","SalePrice"
"Forward (p-values)","OverallQual Neighborhood TotRmsAbvGrd BsmtExposure GarageArea KitchenQual LotArea Fireplaces BsmtQual MasVnrArea PoolQC BsmtFinType1 ExterQual BsmtCond OverallCond LotFrontage KitchenAbvGr FullBath BedroomAbvGr HalfBath BsmtFullBath ScreenPorch WoodDeckSF OpenPorchSF Functional PoolArea",26,1499455435750.06,1292955824866.67,34251.7193233907,34521.2451899317,30070.0096520883,30021.2632944263,901276249.793271,20587.6450134118,0.857380898725428,0.837147743813533,0.862177285796433,0.92853502130853,16.5924826997754+0i,9207458778054.45,7938461818345.52,1268996959708.93,162009424864.194,901276249.793271,"ols_step_forward_p",0.0373609336496145,0.260562425373506,"target=SalePrice imb=0.5 vif=10 ordint=TRUE ordfact=FALSE pin=0.05 pout=0.1","SalePrice"
"Backward (p-values)","LotFrontage LotArea Neighborhood OverallQual OverallCond MasVnrArea ExterQual ExterCond BsmtQual BsmtCond BsmtExposure BsmtFinType1 BsmtFullBath FullBath HalfBath BedroomAbvGr KitchenAbvGr KitchenQual TotRmsAbvGrd Functional Fireplaces FireplaceQu GarageArea WoodDeckSF OpenPorchSF ScreenPorch PoolArea PoolQC",28,1495625953245.83,1289074373627.26,34249.2952387332,34529.3907470994,30067.8128326846,29976.4955342709,898590284.516166,20576.4857510672,0.857805929290655,0.837563654717566,0.862783209734153,0.928861243531106,16.5677399606508+0i,9207458778054.45,7944040838024.72,1263417940029.73,155765506627.936,898590284.516166,"ols_step_backward_p",0.037352942006053,0.26078791326913,"target=SalePrice imb=0.5 vif=10 ordint=TRUE ordfact=FALSE pin=0.05 pout=0.1","SalePrice"
"Stepwise (p-values)","OverallQual Neighborhood TotRmsAbvGrd BsmtExposure GarageArea KitchenQual LotArea Fireplaces BsmtQual MasVnrArea PoolQC BsmtFinType1 ExterQual BsmtCond OverallCond LotFrontage KitchenAbvGr FullBath BedroomAbvGr HalfBath BsmtFullBath ScreenPorch WoodDeckSF OpenPorchSF Functional PoolArea",26,1499455435750.06,1292955824866.67,34251.7193233907,34521.2451899317,30070.0096520883,30021.2632944263,901276249.793271,20587.6450134118,0.857380898725428,0.837147743813533,0.862177285796433,0.92853502130853,16.5924826997754+0i,9207458778054.45,7938461818345.52,1268996959708.93,162009424864.194,901276249.793271,"ols_step_both_p",0.0373609336496145,0.260562425373506,"target=SalePrice imb=0.5 vif=10 ordint=TRUE ordfact=FALSE pin=0.05 pout=0.1","SalePrice"
"Best Subset (SBIC)","BsmtQual GarageArea LandSlope HalfBath Fireplaces BsmtCond FullBath",7,3078434411736.29,3052605931446.29,35439.4801104022,35487.0434986153,31301.9435625595,45756.8366197269,2093688097.44438,32240.486360883,0.668692129771224,0.665658626778368,0.670283862847135,0.81870865565666,25.2893928068051+0i,9207458778054.44,6171611036760.08,3035847741294.35,881658719537.155,2093688097.44438,"ols_step_best_subset",0.0305741478792529,0.503039388663425,"target=SalePrice imb=0.5 vif=10 ordint=TRUE ordfact=FALSE pin=0.05 pout=0.1","SalePrice"
"Forward (aic)","OverallQual Neighborhood TotRmsAbvGrd GarageArea BsmtFinType1 Fireplaces YearRemodAdd LotArea BsmtQual OverallCond KitchenQual FullBath HalfBath BsmtExposure HeatingQC BsmtFullBath LotFrontage ScreenPorch WoodDeckSF Functional PavedDrive KitchenAbvGr GarageFinish OpenPorchSF MasVnrArea PoolQC X3SsnPorch YrSold ExterQual ExterCond BsmtFinSF2 BsmtFinType2",32,26.2543882592902,24.5029758104218,-1739.20263263312,-1437.96784061671,-5920.19435238314,0.130695559424992,0.0170813292534115,0.0944661365089941,0.893089625762829,0.887217806374933,0.89712536398043,0.947167020108085,1.0869549674335+0i,232.788416463774,208.840392850491,23.9480236132829,3.79709805182711,0.0170813292534115,"ols_step_forward_aic",0.0456186519319564,0.0961167616166634,"target=Log_SalePrice imb=0.5 vif=10 ordint=TRUE ordfact=FALSE pin=0.05 pout=0.1","Log_SalePrice"
"Backward (aic)","LotFrontage LotArea Neighborhood OverallQual OverallCond YearRemodAdd MasVnrArea ExterQual ExterCond BsmtQual BsmtExposure BsmtFinType1 BsmtFinType2 BsmtFinSF2 HeatingQC BsmtFullBath FullBath HalfBath KitchenAbvGr KitchenQual TotRmsAbvGrd Functional Fireplaces GarageFinish GarageArea PavedDrive WoodDeckSF OpenPorchSF X3SsnPorch ScreenPorch PoolQC YrSold",32,26.2543882592902,24.5029758104218,-1739.20263263312,-1437.96784061671,-5920.19435238314,0.130695559424992,0.0170813292534115,0.0944661365089941,0.893089625762829,0.887217806374933,0.89712536398043,0.947167020108085,1.0869549674335+0i,232.788416463774,208.840392850491,23.9480236132829,3.79709805182711,0.0170813292534115,"ols_step_backward_aic",0.0456186519319564,0.0961167616166634,"target=Log_SalePrice imb=0.5 vif=10 ordint=TRUE ordfact=FALSE pin=0.05 pout=0.1","Log_SalePrice"
"Stepwise (aic)","OverallQual Neighborhood TotRmsAbvGrd GarageArea BsmtFinType1 Fireplaces YearRemodAdd LotArea BsmtQual OverallCond KitchenQual FullBath HalfBath BsmtExposure HeatingQC BsmtFullBath LotFrontage ScreenPorch WoodDeckSF Functional PavedDrive KitchenAbvGr GarageFinish OpenPorchSF MasVnrArea PoolQC X3SsnPorch YrSold ExterQual ExterCond BsmtFinSF2 BsmtFinType2",32,26.2543882592902,24.5029758104218,-1739.20263263312,-1437.96784061671,-5920.19435238314,0.130695559424992,0.0170813292534115,0.0944661365089941,0.893089625762829,0.887217806374933,0.89712536398043,0.947167020108085,1.0869549674335+0i,232.788416463774,208.840392850491,23.9480236132829,3.79709805182711,0.0170813292534115,"ols_step_both_aic",0.0456186519319564,0.0961167616166634,"target=Log_SalePrice imb=0.5 vif=10 ordint=TRUE ordfact=FALSE pin=0.05 pout=0.1","Log_SalePrice"
