"selection_algorithm","predictors_chosen","num_predictors","PRESS","MSEP","AIC","SBC","SBIC","RMSE","MSE","MAE","Adj_Rsquare","Pred_Rquare","RSquare","Coef_Determ","Coef_Var","Total_SS","Reg_SS","Err_SS","RMS","EMS","Function_Used","KS_Stat","KS_Pvalues","Params","target_name"
"Forward (p-values)","OverallQual TotalIndoorSF Neighborhood BsmtUnfSF YearRemodAdd GarageArea MSZoning Fireplaces YearBuilt LotArea KitchenAbvGr TotRmsAbvGrd KitchenQual Exterior1st ScreenPorch WoodDeckSF LotFrontage BsmtFinSF2 OpenPorchSF GarageCars LotConfig MasVnrType HalfBath",23,Inf,19.8649704063992,-2009.95861116079,-1640.02114728099,-6235.20386015666,0.118600456891353,0.0140660683748377,0.0824227607539221,0.91196184959088,-Inf,0.916070699438389,0.957115823418665,0.986363701453263+0i,232.788416463775,213.250647491125,19.5377689726496,3.13603893369301,0.0140660683748377,"ols_step_forward_p",0.0470477458394094,0.0792387069430277,"target=Log_SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Backward (p-values)","MSZoning LotFrontage LotArea LotConfig Neighborhood OverallQual YearBuilt YearRemodAdd Exterior1st Exterior2nd MasVnrType ExterQual BsmtFinSF1 BsmtFinSF2 BsmtUnfSF BsmtFullBath HalfBath KitchenAbvGr KitchenQual TotRmsAbvGrd FireplaceQu GarageYrBlt GarageCars GarageArea WoodDeckSF OpenPorchSF ScreenPorch TotalIndoorSF",28,Inf,19.3667268346715,-2006.09000339376,-1514.60165852488,-6265.81754248984,0.117879231557511,0.0138955132325894,0.0806834224236121,0.913029337595785,-Inf,0.918461273270997,0.95836385223515,0.980365491087836+0i,232.788416463775,213.807145388058,18.9812710757171,2.34952907019844,0.0138955132325894,"ols_step_backward_p",0.0497611438768498,0.0540217709288087,"target=Log_SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Stepwise (p-values)","OverallQual TotalIndoorSF Neighborhood BsmtUnfSF YearRemodAdd GarageArea MSZoning Fireplaces YearBuilt LotArea KitchenAbvGr TotRmsAbvGrd KitchenQual Exterior1st ScreenPorch WoodDeckSF LotFrontage BsmtFinSF2 OpenPorchSF GarageCars LotConfig MasVnrType HalfBath",23,Inf,19.8649704063992,-2009.95861116079,-1640.02114728099,-6235.20386015666,0.118600456891353,0.0140660683748377,0.0824227607539221,0.91196184959088,-Inf,0.916070699438389,0.957115823418665,0.986363701453263+0i,232.788416463775,213.250647491125,19.5377689726496,3.13603893369301,0.0140660683748377,"ols_step_both_p",0.0470477458394094,0.0792387069430277,"target=Log_SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Best Subset (SBIC)","KitchenQual Exterior1st OpenPorchSF PoolArea GarageYrBlt BsmtHalfBath FullBath KitchenAbvGr",8,89.7972311467389,86.6336501872536,60.4646934491669,187.300395350813,-4104.87208141902,0.244946966585215,0.0599990164392984,0.183030589478809,0.624472006468323,0.614253868337506,0.630142298752261,0.793815028046371,2.03714895333052+0i,232.788416463775,146.689827873382,86.0985885903933,6.66771944879009,0.0599990164392984,"ols_step_best_subset",0.0258811727219819,0.713046602083971,"target=Log_SalePrice imb=0.8 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Forward (aic)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea WoodDeckSF ScreenPorch Exterior1st OpenPorchSF TotRmsAbvGrd HouseStyle GarageCars",25,Inf,908141946770.249,33783.6482623427,34174.7250098728,29554.7587375635,25377.1137736147,643997903.478986,16757.6259881559,0.898092951813666,-Inf,0.903128852616285,0.950330917426285,14.0257029535832+0i,9207458778054.44,8315521681736.05,891937096318.396,115493356690.778,643997903.478986,"ols_step_forward_aic",0.0456463876360813,0.0957626794320091,"target=SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Backward (aic)","LotFrontage LotArea Neighborhood HouseStyle OverallQual YearBuilt YearRemodAdd Exterior1st MasVnrType MasVnrArea ExterQual BsmtFinSF1 BsmtFinSF2 BsmtUnfSF BedroomAbvGr KitchenAbvGr KitchenQual TotRmsAbvGrd Fireplaces FireplaceQu GarageCars GarageArea WoodDeckSF OpenPorchSF ScreenPorch PoolArea YrSold TotalIndoorSF",28,Inf,902199439910.655,33785.0165470469,34213.0870409649,29548.7522422595,25331.517081169,641685757.633556,16718.0610237715,0.898458828716077,-Inf,0.903964492773338,0.95077047323386,14.0005020710236+0i,9207458778054.44,8323215804035.4,884242974019.04,105357162076.397,641685757.633556,"ols_step_backward_aic",0.0483602557702018,0.0660130226480278,"target=SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Stepwise (aic)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea WoodDeckSF ScreenPorch Exterior1st OpenPorchSF TotRmsAbvGrd HouseStyle GarageCars",25,Inf,908141946770.249,33783.6482623427,34174.7250098728,29554.7587375635,25377.1137736147,643997903.478986,16757.6259881559,0.898092951813666,-Inf,0.903128852616285,0.950330917426285,14.0257029535832+0i,9207458778054.44,8315521681736.05,891937096318.396,115493356690.778,643997903.478986,"ols_step_both_aic",0.0456463876360813,0.0957626794320091,"target=SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Forward (p-values)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea WoodDeckSF Exterior1st ScreenPorch OpenPorchSF TotRmsAbvGrd",23,Inf,917524381819.767,33784.6705677838,34133.4687480133,29567.2812205767,25452.2846993252,647818796.415502,16797.0904406215,0.897488328850621,-Inf,0.901991243712364,0.94973219578593,14.0672492493584+0i,9207458778054.45,8305047194647.65,902411583406.794,129766362416.37,647818796.415502,"ols_step_forward_p",0.0429029034111156,0.136453446637654,"target=SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Backward (p-values)","LotFrontage LotArea Neighborhood HouseStyle OverallQual YearBuilt YearRemodAdd Exterior1st MasVnrType MasVnrArea ExterQual BsmtFinSF1 BsmtFinSF2 BsmtUnfSF BedroomAbvGr KitchenAbvGr KitchenQual TotRmsAbvGrd Fireplaces FireplaceQu GarageArea WoodDeckSF OpenPorchSF ScreenPorch PoolArea TotalIndoorSF",26,Inf,903664822917.974,33785.423347258,34202.9241993509,29548.8443689322,25351.4376371189,642695390.268729,16699.4252302956,0.89829906316242,-Inf,0.903673786660357,0.950617581712203,14.0115119834556+0i,9207458778054.44,8320539139483.6,886919638570.846,108058949863.423,642695390.268729,"ols_step_backward_p",0.0483644866403225,0.0659736380086215,"target=SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Stepwise (p-values)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea WoodDeckSF Exterior1st ScreenPorch OpenPorchSF TotRmsAbvGrd",23,Inf,917524381819.767,33784.6705677838,34133.4687480133,29567.2812205767,25452.2846993252,647818796.415502,16797.0904406215,0.897488328850621,-Inf,0.901991243712364,0.94973219578593,14.0672492493584+0i,9207458778054.45,8305047194647.65,902411583406.794,129766362416.37,647818796.415502,"ols_step_both_p",0.0429029034111156,0.136453446637654,"target=SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
